File,Line,Category,Severity,Issue,Recommended Fix,Estimated Hours
services/centralServerClient.js,46,Async without try-catch,HIGH,"getDashboard() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,57,Async without try-catch,HIGH,"searchPatients() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,66,Async without try-catch,HIGH,"getPatientHistory() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,75,Async without try-catch,HIGH,"getFullPatient() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,84,Async without try-catch,HIGH,"getPatientAllClinics() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,93,Async without try-catch,HIGH,"checkPatientExists() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,104,Async without try-catch,HIGH,"getConsolidatedInventory() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,113,Async without try-catch,HIGH,"getInventorySummary() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,122,Async without try-catch,HIGH,"getInventoryAlerts() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,131,Async without try-catch,HIGH,"getTransferRecommendations() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,140,Async without try-catch,HIGH,"getInventoryCategories() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,149,Async without try-catch,HIGH,"getExpiringItems() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,158,Async without try-catch,HIGH,"getProductStock() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,169,Async without try-catch,HIGH,"getFinancialDashboard() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,178,Async without try-catch,HIGH,"getConsolidatedRevenue() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,187,Async without try-catch,HIGH,"getClinicComparison() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,196,Async without try-catch,HIGH,"getRevenueByCategory() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,205,Async without try-catch,HIGH,"getPaymentMethodDistribution() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,214,Async without try-catch,HIGH,"getOutstanding() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,225,Async without try-catch,HIGH,"getClinics() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,234,Async without try-catch,HIGH,"getClinic() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/centralServerClient.js,245,Async without try-catch,HIGH,"getSyncStatus() has no error handling","Wrap in try-catch, add timeout, log errors",0.25
services/autoSyncService.js,19,EventEmitter without error handler,HIGH,"AutoSyncService extends EventEmitter but has no error handler","Add this.on('error', handler) in constructor",0.5
