Screenshot #,Filename,Relative Path,Module,Component,State,Timestamp,Size (KB),Analysis Notes,Spec Compliance,Visual Integrity,Functionality
1,prod_dashboard_main_20251229_001318.png,prod_dashboard_main_20251229_001318.png,Dashboard,Dashboard,Captured State,2025-12-29 00:13:18,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
2,prod_dashboard_main_20251229_001720.png,prod_dashboard_main_20251229_001720.png,Dashboard,Dashboard,Captured State,2025-12-29 00:17:20,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
3,prod_dashboard_main_20251229_002121.png,prod_dashboard_main_20251229_002121.png,Dashboard,Dashboard,Captured State,2025-12-29 00:21:21,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
4,prod_dashboard_main_20251229_002430.png,prod_dashboard_main_20251229_002430.png,Dashboard,Dashboard,Captured State,2025-12-29 00:24:30,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
5,prod_dashboard_main_20251229_002745.png,prod_dashboard_main_20251229_002745.png,Dashboard,Dashboard,Captured State,2025-12-29 00:27:45,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
6,prod_dashboard_main_20251229_003040.png,prod_dashboard_main_20251229_003040.png,Dashboard,Dashboard,Captured State,2025-12-29 00:30:40,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
7,prod_dashboard_main_20251229_003456.png,prod_dashboard_main_20251229_003456.png,Dashboard,Dashboard,Captured State,2025-12-29 00:34:56,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
8,prod_dashboard_main_20251229_003811.png,prod_dashboard_main_20251229_003811.png,Dashboard,Dashboard,Captured State,2025-12-29 00:38:11,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
9,prod_dashboard_main_20251229_004114.png,prod_dashboard_main_20251229_004114.png,Dashboard,Dashboard,Captured State,2025-12-29 00:41:14,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
10,prod_dashboard_main_20251229_013916.png,prod_dashboard_main_20251229_013916.png,Dashboard,Dashboard,Captured State,2025-12-29 01:39:17,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
11,prod_dashboard_main_20251229_014245.png,prod_dashboard_main_20251229_014245.png,Dashboard,Dashboard,Captured State,2025-12-29 01:42:45,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
12,prod_dashboard_main_20251229_014710.png,prod_dashboard_main_20251229_014710.png,Dashboard,Dashboard,Captured State,2025-12-29 01:47:10,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
13,prod_dashboard_main_20251229_015035.png,prod_dashboard_main_20251229_015035.png,Dashboard,Dashboard,Captured State,2025-12-29 01:50:35,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
14,prod_dashboard_main_20251229_015241.png,prod_dashboard_main_20251229_015241.png,Dashboard,Dashboard,Captured State,2025-12-29 01:52:42,316.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
15,prod_documents_main_20251229_001437.png,prod_documents_main_20251229_001437.png,Documents,UI Component,Captured State,2025-12-29 00:14:37,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
16,prod_documents_main_20251229_001840.png,prod_documents_main_20251229_001840.png,Documents,UI Component,Captured State,2025-12-29 00:18:40,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
17,prod_documents_main_20251229_002243.png,prod_documents_main_20251229_002243.png,Documents,UI Component,Captured State,2025-12-29 00:22:44,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
18,prod_documents_main_20251229_002553.png,prod_documents_main_20251229_002553.png,Documents,UI Component,Captured State,2025-12-29 00:25:53,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
19,prod_documents_main_20251229_002908.png,prod_documents_main_20251229_002908.png,Documents,UI Component,Captured State,2025-12-29 00:29:08,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
20,prod_documents_main_20251229_003246.png,prod_documents_main_20251229_003246.png,Documents,UI Component,Captured State,2025-12-29 00:32:46,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
21,prod_documents_main_20251229_003703.png,prod_documents_main_20251229_003703.png,Documents,UI Component,Captured State,2025-12-29 00:37:03,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
22,prod_documents_main_20251229_004018.png,prod_documents_main_20251229_004018.png,Documents,UI Component,Captured State,2025-12-29 00:40:18,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
23,prod_documents_main_20251229_004253.png,prod_documents_main_20251229_004253.png,Documents,UI Component,Captured State,2025-12-29 00:42:54,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
24,prod_documents_main_20251229_014129.png,prod_documents_main_20251229_014129.png,Documents,UI Component,Captured State,2025-12-29 01:41:29,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
25,prod_documents_main_20251229_014457.png,prod_documents_main_20251229_014457.png,Documents,UI Component,Captured State,2025-12-29 01:44:57,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
26,prod_documents_main_20251229_014923.png,prod_documents_main_20251229_014923.png,Documents,UI Component,Captured State,2025-12-29 01:49:23,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
27,prod_documents_main_20251229_015214.png,prod_documents_main_20251229_015214.png,Documents,UI Component,Captured State,2025-12-29 01:52:14,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
28,prod_documents_main_20251229_015423.png,prod_documents_main_20251229_015423.png,Documents,UI Component,Captured State,2025-12-29 01:54:23,363.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
29,prod_financial_main_20251229_001442.png,prod_financial_main_20251229_001442.png,Financial Reports,UI Component,Captured State,2025-12-29 00:14:42,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
30,prod_financial_main_20251229_001845.png,prod_financial_main_20251229_001845.png,Financial Reports,UI Component,Captured State,2025-12-29 00:18:45,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
31,prod_financial_main_20251229_002249.png,prod_financial_main_20251229_002249.png,Financial Reports,UI Component,Captured State,2025-12-29 00:22:49,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
32,prod_financial_main_20251229_002558.png,prod_financial_main_20251229_002558.png,Financial Reports,UI Component,Captured State,2025-12-29 00:25:58,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
33,prod_financial_main_20251229_002913.png,prod_financial_main_20251229_002913.png,Financial Reports,UI Component,Captured State,2025-12-29 00:29:13,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
34,prod_financial_main_20251229_003251.png,prod_financial_main_20251229_003251.png,Financial Reports,UI Component,Captured State,2025-12-29 00:32:51,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
35,prod_financial_main_20251229_003708.png,prod_financial_main_20251229_003708.png,Financial Reports,UI Component,Captured State,2025-12-29 00:37:08,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
36,prod_financial_main_20251229_004023.png,prod_financial_main_20251229_004023.png,Financial Reports,UI Component,Captured State,2025-12-29 00:40:23,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
37,prod_financial_main_20251229_004259.png,prod_financial_main_20251229_004259.png,Financial Reports,UI Component,Captured State,2025-12-29 00:42:59,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
38,prod_financial_main_20251229_014134.png,prod_financial_main_20251229_014134.png,Financial Reports,UI Component,Captured State,2025-12-29 01:41:34,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
39,prod_financial_main_20251229_014502.png,prod_financial_main_20251229_014502.png,Financial Reports,UI Component,Captured State,2025-12-29 01:45:02,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
40,prod_financial_main_20251229_014928.png,prod_financial_main_20251229_014928.png,Financial Reports,UI Component,Captured State,2025-12-29 01:49:28,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
41,prod_financial_main_20251229_015219.png,prod_financial_main_20251229_015219.png,Financial Reports,UI Component,Captured State,2025-12-29 01:52:19,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
42,prod_financial_main_20251229_015428.png,prod_financial_main_20251229_015428.png,Financial Reports,UI Component,Captured State,2025-12-29 01:54:28,363.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
43,prod_financial_reports_20251229_001443.png,prod_financial_reports_20251229_001443.png,Financial Reports,UI Component,Captured State,2025-12-29 00:14:43,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
44,prod_financial_reports_20251229_001846.png,prod_financial_reports_20251229_001846.png,Financial Reports,UI Component,Captured State,2025-12-29 00:18:46,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
45,prod_financial_reports_20251229_002249.png,prod_financial_reports_20251229_002249.png,Financial Reports,UI Component,Captured State,2025-12-29 00:22:50,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
46,prod_financial_reports_20251229_002559.png,prod_financial_reports_20251229_002559.png,Financial Reports,UI Component,Captured State,2025-12-29 00:25:59,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
47,prod_financial_reports_20251229_002914.png,prod_financial_reports_20251229_002914.png,Financial Reports,UI Component,Captured State,2025-12-29 00:29:14,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
48,prod_financial_reports_20251229_003252.png,prod_financial_reports_20251229_003252.png,Financial Reports,UI Component,Captured State,2025-12-29 00:32:52,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
49,prod_financial_reports_20251229_003709.png,prod_financial_reports_20251229_003709.png,Financial Reports,UI Component,Captured State,2025-12-29 00:37:09,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
50,prod_financial_reports_20251229_004024.png,prod_financial_reports_20251229_004024.png,Financial Reports,UI Component,Captured State,2025-12-29 00:40:24,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
51,prod_financial_reports_20251229_004259.png,prod_financial_reports_20251229_004259.png,Financial Reports,UI Component,Captured State,2025-12-29 00:43:00,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
52,prod_financial_reports_20251229_014135.png,prod_financial_reports_20251229_014135.png,Financial Reports,UI Component,Captured State,2025-12-29 01:41:35,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
53,prod_financial_reports_20251229_014503.png,prod_financial_reports_20251229_014503.png,Financial Reports,UI Component,Captured State,2025-12-29 01:45:03,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
54,prod_financial_reports_20251229_014929.png,prod_financial_reports_20251229_014929.png,Financial Reports,UI Component,Captured State,2025-12-29 01:49:29,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
55,prod_financial_reports_20251229_015220.png,prod_financial_reports_20251229_015220.png,Financial Reports,UI Component,Captured State,2025-12-29 01:52:20,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
56,prod_financial_reports_20251229_015429.png,prod_financial_reports_20251229_015429.png,Financial Reports,UI Component,Captured State,2025-12-29 01:54:29,356.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
57,prod_ivt_main_20251229_001434.png,prod_ivt_main_20251229_001434.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:14:34,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
58,prod_ivt_main_20251229_001837.png,prod_ivt_main_20251229_001837.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:18:37,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
59,prod_ivt_main_20251229_002241.png,prod_ivt_main_20251229_002241.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:22:41,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
60,prod_ivt_main_20251229_002550.png,prod_ivt_main_20251229_002550.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:25:50,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
61,prod_ivt_main_20251229_002906.png,prod_ivt_main_20251229_002906.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:29:06,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
62,prod_ivt_main_20251229_003243.png,prod_ivt_main_20251229_003243.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:32:43,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
63,prod_ivt_main_20251229_003700.png,prod_ivt_main_20251229_003700.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:37:00,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
64,prod_ivt_main_20251229_004015.png,prod_ivt_main_20251229_004015.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:40:16,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
65,prod_ivt_main_20251229_004251.png,prod_ivt_main_20251229_004251.png,IVT Injections,IVT Injection,Captured State,2025-12-29 00:42:51,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
66,prod_ivt_main_20251229_014126.png,prod_ivt_main_20251229_014126.png,IVT Injections,IVT Injection,Captured State,2025-12-29 01:41:26,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
67,prod_ivt_main_20251229_014454.png,prod_ivt_main_20251229_014454.png,IVT Injections,IVT Injection,Captured State,2025-12-29 01:44:54,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
68,prod_ivt_main_20251229_014920.png,prod_ivt_main_20251229_014920.png,IVT Injections,IVT Injection,Captured State,2025-12-29 01:49:20,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
69,prod_ivt_main_20251229_015211.png,prod_ivt_main_20251229_015211.png,IVT Injections,IVT Injection,Captured State,2025-12-29 01:52:11,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
70,prod_ivt_main_20251229_015420.png,prod_ivt_main_20251229_015420.png,IVT Injections,IVT Injection,Captured State,2025-12-29 01:54:20,182.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
