Requirement ID,Category,Specification Requirement,Source Doc,Implementation Status,Test Status,Evidence,Notes
REQ-001,Language,French UI for all user-facing content,Part 1,IMPLEMENTED,PASS,All screenshots,Minor browser validation messages in English (M-001)
REQ-002,Location,Congo (DRC) context,Part 1,IMPLEMENTED,PASS,Phone +243 format verified,Correct country context
REQ-003,Currency,CDF (Franc Congolais) primary currency,Part 1,IMPLEMENTED,PARTIAL,Analytics/Pharmacy show CFA correctly,Some screens show $ (M-002)
REQ-004,Visual Acuity,Monoyer scale for distance vision,Part 1,IMPLEMENTED,PASS,refraction_filled screenshots,10/10 9/10 etc. verified
REQ-005,Visual Acuity,Parinaud scale for near vision,Part 1,IMPLEMENTED,PASS,refraction_filled screenshots,P1 P2 P3 etc. verified
REQ-006,Visual Acuity,Special notations CLD VBLM PL+ PL-,Part 1,IMPLEMENTED,PASS,StudioVision interface,Supported in VA fields
REQ-007,Date Format,DD/MM/YYYY French format,Part 1,IMPLEMENTED,PASS,appointment date pickers,French format confirmed
REQ-008,Time Format,24-hour format,Part 1,IMPLEMENTED,PASS,Queue times appointment times,24h format used
REQ-009,Frontend,React 19 with Vite,Part 1,IMPLEMENTED,PASS,Modern UI rendering,React components working
REQ-010,Backend,Node.js 18+ Express MongoDB,Part 1,IMPLEMENTED,PASS,Data persistence,Backend functional
REQ-011,Auth,JWT authentication with refresh tokens,Part 1,IMPLEMENTED,PASS,Login logout flow,Token-based auth working
REQ-012,Auth,Role-based access control,Part 1,IMPLEMENTED,PASS,6+ demo roles,RBAC functional
REQ-013,Auth,Multi-clinic user assignment,Part 1,IMPLEMENTED,PASS,Clinic selector,Multi-clinic working
REQ-014,Patient,Auto-generated patient ID PAT-YYYYMMDD-SEQ,Part 2,IMPLEMENTED,PASS,Patient detail views,ID format correct
REQ-015,Patient,Face recognition for identification,Part 2,IMPLEMENTED,PASS,Integration indicators,Face service integrated
REQ-016,Patient,Photo capture,Part 2,IMPLEMENTED,PASS,Patient wizard,Photo upload available
REQ-017,Patient,Convention/insurance assignment,Part 2,IMPLEMENTED,PASS,Wizard step 4,Convention step in wizard
REQ-018,Patient,VIP flag,Part 2,IMPLEMENTED,PASS,Patient badges,VIP indicator present
REQ-019,Appointments,Calendar-based scheduling,Part 2,IMPLEMENTED,PASS,Calendar views,Liste Semaine Mois Agenda
REQ-020,Appointments,Multiple appointment types,Part 2,IMPLEMENTED,PASS,Type dropdown,Consultation surgery etc.
REQ-021,Appointments,Provider assignment,Part 2,IMPLEMENTED,PASS,Praticien field,Doctor selection
REQ-022,Appointments,Room assignment,Part 2,IMPLEMENTED,PASS,Salle field,Room selection available
REQ-023,Queue,Real-time queue display,Part 2,IMPLEMENTED,PASS,Queue page,Live counts
REQ-024,Queue,Priority levels,Part 2,IMPLEMENTED,PASS,Check-in modal,Normal VIP Urgent etc.
REQ-025,Queue,Wait time tracking,Part 2,IMPLEMENTED,PASS,Temps d attente moyen,Wait time displayed
REQ-026,Ophthal,Color-coded sections StudioVision,Part 2,IMPLEMENTED,PASS,Consultation interface,Pink Green Yellow verified
REQ-027,Ophthal,OD/OS laterality,Part 2,IMPLEMENTED,PASS,Refraction panels,Separate eye panels
REQ-028,Ophthal,Refraction fields sphere cylinder axis add,Part 2,IMPLEMENTED,PASS,Refraction tab,All fields present
REQ-029,Ophthal,IOP measurement mmHg,Part 2,IMPLEMENTED,PASS,Tonometrie section,IOP fields present
REQ-030,Ophthal,Consultation types Complete Suivi Refraction,Part 2,IMPLEMENTED,PASS,New consultation modal,Type selection available
REQ-031,Ophthal,Pupillary distance OD/OS,Part 2,IMPLEMENTED,PASS,Ecart Pupillaire field,Split PD measurement
REQ-032,Orthoptics,Exam list and tracking,Part 2,IMPLEMENTED,PASS,Orthoptics page,Exam table with status
REQ-033,IVT,Protocol management,Part 2,IMPLEMENTED,PASS,IVT dashboard,Injection tracking
